uf;total_emprego;total_va;produtividade_media;custo_medio;esg_medio;inovacao_media;PIB_Ind_Milhoes;Produtividade
AC;46147;5797780688.872385;125637.21777953897;2971.169739584543;72.45472299193965;0.010986704500088084;5797.78;125637.22
AL;43733;5635663632.459269;128865.24209313947;2945.7948216806503;75.51779562527217;0.008569394014298817;5635.66;128865.24
AM;45990;6230956028.500416;135485.01910198774;3023.3431684487323;73.71312498541204;0.009361193930753778;6230.96;135485.02
AP;52746;6773989564.451286;128426.60229119338;2983.4392799920824;73.54207965455937;0.009687652963138107;6773.99;128426.6
BA;41906;7748669517.169359;184905.968528835;3756.5423102222258;81.8929969791001;0.010904920681450563;7748.67;184905.97
CE;47195;6433352262.312665;136314.27613757103;3021.392398259125;70.7830738178981;0.010570479893015133;6433.35;136314.28
DF;51490;6991268488.421579;135779.15106664554;2971.5494087003476;73.13564697318431;0.009778162849611137;6991.27;135779.15
ES;48216;6580288538.261326;136475.2061195729;3122.36510772287;76.88373577066761;0.009650037415676084;6580.29;136475.21
GO;43640;8996487768.46307;206152.33199961204;3837.873099834594;81.90867363469887;0.010748072879428298;8996.49;206152.33
MA;52006;7434354180.868006;142951.85518724774;3057.2878496046555;72.20365554328573;0.01054678858953327;7434.35;142951.86
MG;54678;12469449204.023577;228052.40140501806;4912.673715158085;85.47723657054999;0.03014873845411761;12469.45;228052.4
MS;44317;8409673274.545986;189761.7906118642;4008.533777799413;78.67898396348342;0.009580637618406992;8409.67;189761.79
MT;46605;8821633445.272154;189285.1291765294;3675.8574480325224;79.49798740819719;0.010062852768296323;8821.63;189285.13
PA;50260;6643588711.19476;132184.41526451972;3034.7231182890823;72.42763535127173;0.0100719436294729;6643.59;132184.42
PB;48059;6008174495.320698;125016.63570446114;2983.858611507914;74.81376649308636;0.009999618434541288;6008.17;125016.64
PE;45819;6232100427.389601;136015.63603285974;2929.7705964123948;74.11151003853952;0.008290127042932575;6232.1;136015.64
PI;40910;4978787699.566832;121700.99485619241;2979.8917219074447;73.96392358401268;0.010200562474211706;4978.79;121700.99
PR;47801;9448995319.811947;197673.590925126;3796.3971086623033;79.75712952087943;0.009685347951961427;9449.0;197673.59
RJ;53828;12470557953.328163;231674.18357227024;4953.001652056555;82.4083166998039;0.03247951805383541;12470.56;231674.18
RN;49590;6882789211.77487;138793.89416767232;3103.802416636764;72.90476716102627;0.008948001856900593;6882.79;138793.89
RO;48503;6752113523.709109;139210.22459866625;3072.1214993854587;76.1986492314546;0.00977582628884595;6752.11;139210.22
RR;47152;6386956175.948988;135454.61859409968;2985.787566152982;74.28932722650072;0.009255838738578553;6386.96;135454.62
RS;42678;10058663774.660587;235687.32777216804;5029.281191891213;82.56195131052107;0.03617328444475643;10058.66;235687.33
SC;45898;10282828760.429054;224036.53232012407;4905.3214433529;81.5055469859788;0.03192895255190126;10282.83;224036.53
SE;48075;6197153173.951355;128905.94225587841;2948.305689401593;74.70391131436136;0.011184856039390062;6197.15;128905.94
SP;522424;112995998265.37053;216291.74437883892;5032.964964138752;85.76487898386077;0.030859947344512376;112996.0;216291.74
TO;56111;7460458681.176537;132958.93285053797;3034.9848547195293;73.11283044393633;0.009398238348796458;7460.46;132958.93
