uf,total_emprego,lisa_I,lisa_p_value,lisa_label
SP,522424,-0.8119522108042919,0.07,High-Low (Outlier Espacial)
RJ,53828,-0.1424411996107971,0.016,Low-High (Outlier Espacial)
MG,54678,-0.13288815684186325,0.006,Low-High (Outlier Espacial)
ES,48216,-0.21137963330150777,0.023,Low-High (Outlier Espacial)
RS,42678,-0.2710805588632216,0.141,Não Significativo
SC,45898,-0.23633333923111213,0.081,Low-High (Outlier Espacial)
PR,47801,-0.21226920926918588,0.093,Low-High (Outlier Espacial)
BA,41906,0.053346911371798596,0.172,Não Significativo
PE,45819,0.0422527849994307,0.333,Não Significativo
CE,47195,0.04204921804744206,0.166,Não Significativo
RN,49590,0.03631467563242522,0.184,Não Significativo
PB,48059,0.03858089337127355,0.261,Não Significativo
SE,48075,0.042535619474469086,0.054,Low-Low (Coldspot)
AL,43733,0.04540229454017835,0.398,Não Significativo
PI,40910,0.04104101251072756,0.195,Não Significativo
MA,52006,0.028238960710125317,0.446,Não Significativo
DF,51490,-0.17277565824785068,0.008,Low-High (Outlier Espacial)
GO,43640,0.03579933330981434,0.181,Não Significativo
MT,46605,0.03712668181279794,0.402,Não Significativo
MS,44317,0.04544419043892063,0.332,Não Significativo
AM,45990,0.038927975841293566,0.456,Não Significativo
PA,50260,0.027091909122777903,0.224,Não Significativo
RO,48503,0.03826168949247249,0.21,Não Significativo
RR,47152,0.034986652986807566,0.336,Não Significativo
AP,52746,0.02741487767413886,0.375,Não Significativo
AC,46147,0.04224008845242197,0.29,Não Significativo
TO,56111,0.0204352987447041,0.327,Não Significativo
